Key,Russian,English,Comments,Timestamp,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian
actor.class.light_crossbowman,Легкий арбалетчик,Light сrossbowman,,23.09.2024,Light сrossbowman,Lehký kušijník,Besteiro leve,Ballestero ligero,Lekki kusznik,轻弩兵,輕弩兵,軽クロスボウ射手,경갑 석궁병,Leichter Armbrustschütze,Arbalétrier·ère léger·ère,Balestriere leggero,Hafif Arbaletli,Könnyű számszeríjász,Легкий арбалетник
global_map.object.army.defenders,Гарнизон,Garrison,,05.02.2025,Garrison,Posádka,Guarnição,Guarnición,Garnizon,驻军,駐守部隊,駐屯地,주둔군,Garnison,Garnison,Guarnigione,Garnizon,Helyőrség,Гарнізон
map.ask_player_send_army_to_attack,Просьба прислать армию,Request to Send an Army,,02.10.2024,Request to Send an Army,Vyžádat vyslání vojska,Pedir para enviar exército,Solicitar el envío de un ejército,Prośba o przysłanie armii,请求派遣军队,要求派遣軍隊,軍隊の派遣を要請,군대 파병 요청,Um Entsenden der Armee bitten,Demander un soutien militaire,Richiesta di invio dell'esercito,Ordu Gönderilmesini İste,Kérés hadsereg küldésére,Запит на відправлення війська
opinion_mind.player_ally_send_army,Прислал войска на помощь,Sent army for help,,02.10.2024,Sent army for help,Vyslání vojska na pomoc,Enviar exército para ajudar,Se ha enviado un ejército de ayuda,Wyślij armię na pomoc,派遣军队救援,派遣軍隊支援,援軍を派遣,지원 군대 파병함,Armee zu Hilfe entsandt,Envoyer un soutien militaire,Ha inviato l'esercito in aiuto,Yardım için ordu gönder,Hadsereg küldése segítségnek,Відправити військо на допомогу
opinion_mind.leader,Лидер союза,Alliance leader,,02.10.2024,Alliance leader,Vůdce spojenectví,Líder da aliança,Líder de la alianza,Przywódca sojuszu,联盟领袖,聯盟領袖,同盟リーダー,동맹 수장,Allianzanführer,Commandement de l'alliance,Capo dell'alleanza,İttifak lideri,Szövetség vezetője,Лідер союзу
global_map.choose_army,ВЫБОР ОТРЯДОВ,SQUAD SELECTION,,02.10.2024,SQUAD SELECTION,VÝBĚR ČETY,SELECIONAR ESQUADRÃO,SELECCIÓN DE ESCUADRA,WYBÓR ODDZIAŁU,部队选择,選擇部隊,部隊選別,분대 선택,TRUPP-AUSWAHL,SÉLECTION D'ESCOUADE,SELEZIONE SQUADRA,BÖLÜK SEÇİMİ,OSZTAG KIJELÖLÉS,ВИБІР ЗАГОНУ
actor.action.army.allies,Союзники,Allies,,02.10.2024,Allies,Spojenci,Aliados,Aliados,Sojusznicy,盟友,盟友,同盟国,동맹,Verbündete,Alliés,Alleati,Müttefikler,Szövetségesek,Союзники
actor.action.army.vassals,Вассалы,Vassals,,02.10.2024,Vassals,Vazalové,Vassalos,Vasallos,Wasale,附庸,附庸,従属国,봉신,Vasallen,Vassaux,Vassalli,Vasallar,Vazallusok,Васали
display_event.uniq_slave_release_message,Письмо от неизвестного,Message from prisoner,,02.10.2024,Message from prisoner,Zpráva od vězně,Mensagem do prisioneiro,Mensaje de prisionero,Wiadomość od jeńca,囚犯的消息,囚犯的親筆信,囚人からのメッセージ,수감자로부터의 전갈,Nachricht von Sklaven,Message de l'esclave,Messaggio del prigioniero,Mahkûmun mesajı,Üzenet a fogolytól,Повідомлення від в'язня
letter.uniq_slave_release_message_noble,"Я тот самый несчастный, которого вы выкупили у бандитов и освободили. Прошу прощения, что покинул вас так скоро, но мне не терпелось воссоединиться со своей семьей. 

Теперь я знаю, что прекрасные девы могут подарить нам не только восторги любви, но и коварное предательство, настолько унизительное в своей простоте, что я бы скорее умер, чем признался бы вам кто я на самом деле. 

Тем не менее, хотелось бы вас отблагодарить за вашу доброту и хоть как-то возместить вам ваши расходы.","I am the unfortunate one whom you ransomed from the bandits and freed. I apologize for leaving you so soon, but I was eager to reunite with my family.

Now I realize that beautiful maidens can bring us not only the delights of love but also treacherous betrayal, so humiliating in its simplicity that I would rather die than admit to you who I truly am.

Nonetheless, I would like to express my gratitude for your kindness and somehow compensate you for your expenses.",,02.10.2024,"I am the unfortunate one whom you bought out from the bandits and thus freed. I apologize for leaving you so soon, but I was eager to reunite with my family.

Now I realize that beautiful maidens can bring us not only the delights of love but also treacherous betrayal, so humiliating in its simplicity that I would rather die than admit to you who I truly am.

Nonetheless, I would like to express my gratitude for your kindness and somehow compensate you for your expenses.","Jsem ten nešťastník, kterého ti přišlo záhodno vykoupit od banditů a osvobodit. Omlouvám se, že tě opouštím tak brzy, ale má touha být znovu u své rodiny byla silnější.

Nyní mi dochází, že lepé panny mohou být zdrojem nejen rozkoše lásky, nýbrž i proradné zrady – ve své jednoduchosti tak pokořující, že by mi bylo milejší zemřít než ti přiznat, kdo doopravdy jsem.

Nicméně ti chci vyjádřit svůj vděk za tu laskavost a nějak ti vynahradit výdaje.","Eu sou o infeliz que você resgatou e libertou dos bandidos. Perdoe-me por ir embora tão rapidamente, mas eu ansiava o reencontro com minha família.
 
 Agora percebo que a beleza das donzelas pode trazer não apenas os prazeres do amor, mas também traições. A natureza simplista de tamanha humilhação é tão grande que prefiro morrer a admitir minha identidade.
 
 Porém, eu gostaria de expressar minha gratidão por sua bondade e lhe compensar por seus gastos.","Soy el desgraciado por el que pagaste el rescate a los bandidos que me liberaron. Siento dejarte tan pronto, pero estoy impaciente por reunirme con mi familia.

Ahora me doy cuenta de que las doncellas hermosas pueden traernos no solo los placeres del amor, sino también las traiciones más rastreras, tan humillantes en su simplicidad que preferiría morir antes que admitir ante ti quién soy en realidad.

En cualquier caso, quiero expresar mi gratitud por tu amabilidad y compensarte de algún modo por tus gastos.","Jestem tą nieszczęsną osobą, którą wykupiłeś z rąk bandytów i uwolniłeś. Przepraszam, że tak szybko wyjeżdżam, ale to przez tęsknotę za rodziną.

Wiem się już, że piękne damy mogą dać nam nie tylko uroki miłości, ale także podłą zdradę, tak upokarzającą w swojej prostocie, że wolę umrzeć, niż wyjawić Ci moją prawdziwą tożsamość.

Chcę jednak podziękować Ci za dobroć i jakoś odwdzięczyć się za poniesione przez Ciebie wydatki.","我就是那个倒霉蛋，您花钱把我从一伙强盗手里赎了出来，还放了我。很抱歉这么快就离开您，但我实在很想和家人团聚。

直到现在，我才意识到那些美丽的少女不仅能带来美好的爱情，还能带来可耻的背叛。这种背叛如此简单又如此屈辱，我宁可去死也不愿向您承认我的真实身份。

尽管如此，我仍想向您表达感谢，感谢您的善举，希望这能多少补偿您的损失。","我是你向劫匪贖身並釋放的不幸者。

現在的我深刻體認到，美麗的少女帶來的不僅是愛情的心醉神迷，還有致命危險的殘酷背叛，這個道理簡單到讓人慚愧不已，我寧願死也不願向你坦承自己的真實身分。

儘管如此，我還是非常感謝你大力相助，我會想辦法償還你所付的贖金。","私は、あなたが盗賊から身代金を払い解放してくださった者です。こんなに早くあなたの元を離れてしまい、申し訳ありません。家族が心配だったのです。

美しい乙女が与えるものは、愛の喜びだけではありません。屈辱的な裏切りもつきものです。あなたに自分の本当の姿を知られてしまうくらいなら、死んだほうがましだと思っています。

とはいうものの、あなたのご厚意に感謝の意を表し、あなたが支払ってくださった額をお返ししたいと思っています。","저는 당신이 도적단에게서 몸값을 지불해 해방시켜줬던 한 불운한 자입니다. 너무 급히 떠나서 죄송하지만, 한시라도 빨리 가족에게 돌아가고 싶었습니다.
 
 아름다운 여인들이 사랑의 기쁨뿐만 아니라 간교한 배신을 선사하기도 한다는 것을 이제야 깨달았으며, 그 단순한 사실이 너무나도 굴욕적이기에 제가 어떤 자인지 고백하기보다는 차라리 죽음을 택하고 싶을 정도입니다.
 
 그럼에도 불구하고 당신의 친절에 감사드리며, 당신이 지출한 비용을 어떻게든 보상해 드리고 싶습니다.","Ich bin der unglückliche Sohn, den du mit Lösegeld von den Banditen freigekauft hast. Ich entschuldige mich dafür, dich schon so bald wieder zu verlassen, doch ich musste einfach meine Familie wiedersehen.
 
 Jetzt erkenne ich, dass hübsche Jungfrauen nicht nur die Freuden der Liebe, sondern auch verräterische Heimtücke bedeuten können, die in ihrer Einfachheit dermaßen beschämend ist, dass ich eher sterben würde, als dir zu offenbaren, wer ich wirklich bin.
 
 Dennoch möchte ich dir meine Dankbarkeit für deine Güte zum Ausdruck bringen und dich ein wenig für deine Mühen entschädigen.","Je suis l'esclave que vous avez acheté aux bandits puis avez libéré. Veuillez m'excuser, mais j'ai dû partir précipitamment. J'avais hâte de rejoindre ma famille.
  
 Je comprends maintenant que la beauté de certaines personnes peut être autant source de bonheur que mère des pires trahisons. Tout ceci est si humiliant que je préfère garder mon identité secrète.
  
 Ceci dit, je voudrais vous faire part de ma gratitude pour votre gentillesse et, si possible, vous dédommager pour vos efforts.","Sono lo sfortunato per cui avete pagato il riscatto ai fuorilegge e che avete liberato. Mi scuso per avervi lasciato così presto, ma ero ansioso di riunirmi alla mia famiglia.
 
 Ora mi rendo conto che le belle fanciulle possono portarci non solo le delizie dell'amore ma anche un infido tradimento, così umiliante nella sua semplicità che preferirei morire piuttosto che dirvi chi sono veramente.
 
 Nonostante questo, vorrei esprimere la mia gratitudine per la vostra gentilezza e compensarvi in qualche modo per le vostre spese.","Haydutlara fidye ödeyip serbest bıraktığınız o talihsiz benim. Yanınızdan erken ayrıldığım için özür dilerim ancak aileme kavuşmaya can atıyordum.
 
 Güzel kızların yalnız aşk sefası değil, amansız ihanet de getirebileceğini artık anlıyorum. Durumun basitliği beni bu kadar küçük düşürmüşken size kim olduğumu söylemektense ölmeyi yeğlerim.
 
 Mamafih kibarlığınıza minnetimi sunmak ve masraflarınızı bir şekilde karşılamak isterim.","Én vagyok az a szerencsétlen, akit kiváltottál a banditáktól és kiszabadítottál. Bocsánatodért esedezem, hogy ily hamar távoztam, de nagyon szerettem volna újra a családommal lenni.

Most rájöttem, hogy a szépséges hajadonok nemcsak a szerelem örömeit kínálhatják, hanem aljas árulást is, ami oly megalázó a maga egyszerűségében, hogy inkább meghalnék, semmint hogy bevalljam, ki vagyok valójában.

Mindamellett szeretném kifejezni hálámat a kedvességedért, és valahogyan kárpótolni szeretnélek a költségeidért.","Я той нещасний, якого ви викупили в розбійників і звільнили. Вибачте, що так швидко пішов, але мені кортіло скоріше возз'єднатися з родиною.

Тепер я розумію, що прекрасні діви можуть нести не тільки радість кохання, але й зрадливу підступність – настільки принизливу у своїй простоті, що я волів би краще померти, ніж видати своє справжнє ім'я.

Проте хочу висловити вдячність за вашу доброту і якось відшкодувати витрати."
letter.uniq_slave_release_noble_richstring,К письму прилагалось <hint=hint_resource_gold>{count}</hint>,The letter was accompanied by <hint=hint_resource_gold>{count}</hint>.,,02.10.2024,The letter was accompanied by <hint=hint_resource_gold>{count}</hint>.,U dopisu bylo <hint=hint_resource_gold>{count}</hint>.,A carta veio acompanhada de <hint=hint_resource_gold>{count}</hint>.,"Junto a la carta, había <hint=hint_resource_gold>{count}</hint>.",Do listu dołączono <hint=hint_resource_gold>{count}</hint>.,这封信还附带了<hint=hint_resource_gold>{count}</hint>。,這封信隨附 <hint=hint_resource_gold>{count}</hint>。,この手紙には<hint=hint_resource_gold>{count}</hint>が同封されていました。,편지와 함께 <hint=hint_resource_gold>{count}</hint>이(가) 동봉되어 있습니다.,Du hast zusätzlich zum Brief <hint=hint_resource_gold>{count}</hint> erhalten.,Vous trouvez <hint=hint_resource_gold>{count}</hint> dans l'enveloppe.,La lettera era accompagnata da <hint=hint_resource_gold>{count}</hint>.,Mektubun yanında <hint=hint_resource_gold>{count}</hint> vardı.,A levélhez csatoltan <hint=hint_resource_gold>{count}</hint> érkezett.,До листа було вкладено: <hint=hint_resource_gold>{count}</hint>.
letter.uniq_slave_release_message_bandit,"Господин! Пишет вам простой жрец, по поручению одного человека. Он безграмотный бродяга, но утверждает, что вы не так давно освободили его из плена, заплатив приличную сумму. 

Он просит передать что проиграл себя в кости, а чтобы выйти из долга предложил своему товарищу продать его задорого, изобразив таинственного лорда. 

Проявленная вами к нему милосердие воззвало к его совести и он просит прощения за эту небольшую шалость. Больше он ничем вас отблагодарить не может, и просит меня молиться за ваше здоровье.","Sir! A simple priest writes to you on behalf of a certain man. He is an illiterate vagabond but claims that you recently freed him from captivity, paying a considerable sum.

He asks to convey that he lost himself in a game of dice, and to pay off his debt, he suggested to his companion that he sell himself dearly, pretending to be a mysterious lord.

The mercy you showed him has called to his conscience, and he asks for forgiveness for this small prank. He cannot repay you in any other way and asks me to pray for your health.",,17.10.2024,"Sir! I am just a humble priest who is writing to you on behalf of a certain man. He is an illiterate vagabond but claims that you recently freed him from captivity, paying a considerable sum for him.

He wants you to know that he lost himself in a game of dice, and that to pay off his debt, he suggested to his companion that he sell himself dearly, pretending to be a mysterious lord.

The mercy you showed him has called to his conscience, and he asks for your forgiveness for this small prank. He cannot repay you in any other way and asks me to pray for your health.","Pane! Píše ti prostý kněz jménem jistého muže. Je to negramotný vagabund, ale tvrdí, že se díky tobě nedávno dostal ze zajetí, a to pomocí značné sumy peněz.

Žádá, abych ti sdělil, že sám sebe prohrál v kostkách, a aby splatil svůj dluh, navrhl svému společníkovi, že se draze prodá, vydávaje se za tajemného lorda.

Tvá laskavost promluvila k jeho svědomí, a tak žádá tvé odpuštění za tento malý žertík. Nijak jinak se ti odvděčit nemůže a žádá, abych se modlil za tvé zdraví.","Senhor! Sou um humilde sacerdote que lhe escreve em nome de um certo homem. Ele é um vadio iletrado, mas afirma que você o libertou recentemente, e que pagou um valor considerável por ele.
 
 Ele pede para lhe dizer que perdeu tudo em um jogo dados e que, para pagar o que devia, sugeriu a um amigo que o vendesse fingindo ser um nobre misterioso.
 
 A misericórdia que você demonstrou trouxe à tona a consciência dele. Ele lhe pede perdão pela trama e diz que não tem como lhe pagar o valor do resgate, mas ele me pediu para rezar por sua saúde.","¡Señor! Un simple sacerdote os escribe en nombre de cierto hombre. Es un vagabundo analfabeto, pero afirma que lo habéis liberado recientemente de su cautiverio, pagando una suma considerable.

Pide que se conozca que se dejó llevar en una partida de dados y, para pagar su deuda, sugirió a su compañero hacerse pasar por un prisionero y pedir un rescate.

La piedad que le demostrasteis le ha pesado en la conciencia, y pide perdón por esta pequeña broma. No puede pagaros de otra manera y me pide que rece por vuestra salud.","Panie! Prosty kapłan napisał do Ciebie w imieniu pewnego człowieka, niepiśmiennego włóczęgi, którego rzekomo niedawno wyzwoliłeś z niewoli, płacąc za to sporą sumę.

Prosi, aby przekazać Ci, że zatracił się w grze w kości i chcąc spłacić długi, zaproponował swojemu towarzyszowi, że sprzeda się za duże pieniądze, udając tajemniczego lorda.

Litość, którą mu okazałeś, wzbudziła w nim wyrzuty sumienia, dlatego chciałby poprosić Cię o wybaczenie za ten niewinny żart. Nie może odwdzięczyć Ci się w inny sposób i prosi mnie, abym modlił się o Twoje zdrowie.","向您问好！我是一名普普通通的牧师，名叫阿纳斯塔修斯，代表某人向您写下这封信。此人是一个目不识丁的流民，他声称您近日将他救出囹圄，并为此支付了大笔赎金。

他请求我向您转达，之前他输了一场骰子游戏，为支付赌债，他向同伴建议假装成一位神秘的领主，高价卖身还债。

您的善举重新唤回了他的良知，希望您能原谅这个小小的恶作剧。对此，他无以为报，只能请求我祈祷您身体康健。","敬啟者！我是一名神父，名叫阿納斯塔修斯，代表某人寫信給你。對方是個目不識丁的流民，聲稱你最近從牢裡救出他，還付了大筆贖金。

他想傳達的是，他因賭博而賠上自己的全部身家，為了償還賭債，他請同伴將自己假扮成神秘貴族，然後將自己高價賣出。

你好意出手相助，喚醒了他的良知，所以想請你原諒這個無傷大雅的惡作劇。他無以為報，只能拜託我誠心祈禱你永保康健。","領主様！とある司祭が、ある男に代わってあなたに手紙を書いております。その男は読み書きのできない放浪人ですが、あなたが最近、かなりの金額を支払って監禁状態からこの男を解放したと言っております。
 
 男は、賭け事で負け、その借金を返すために、素性の知れない領主になりすまして自分を高く売るよう、仲間に提案したことをあなたに打ち明けてほしいと頼んでいます。
 
 あなたが示した慈悲が男の良心に訴えたのでしょう。今回の一件の赦しを請うています。男は他の方法であなたにお返しすることはできないため、あなたの健康を祈るよう私に依頼してきました。","통치자시여! 평범한 사제로서 어떤 자를 대신하여 당신께 편지를 씁니다. 그는 문맹인 부랑자인데, 얼마 전에 당신께서 상당한 액수를 지불하고 그자를 포로에서 해방시켜주었다고 하더군요.
 
 그는 주사위 게임에 빠져 이성을 잃었고, 빚을 갚기 위해 수수께끼의 영주 행세를 하며 높은 몸값을 받아내자고 동료에게 제안했다고 합니다.
 
 당신이 보여준 자비가 그의 양심을 일깨웠으며, 그는 이 작은 장난에 대해 용서를 구하고 있습니다. 당신께 보답할 길이 없어 대신 제게 당신의 건강을 위해 기도해 달라고 부탁했습니다.","Mein Herr! Ein einfacher Priester schreibt dir im Auftrag eines gewissen Mannes. Er ist ein Vagabund und Analphabet, doch er behauptet, dass du ihn kürzlich durch Zahlung einer beträchtlichen Summe aus der Gefangenschaft befreit hast.
 
 Er möchte dir übermitteln, dass er kürzlich beim Würfelspiel verloren hat. Um seine Schuld zu begleichen, schlug er seinem Gefährten vor, dass er sich selbst als Bezahlung anbieten und als mysteriöser Lord ausgeben würde.
 
 Die Gnade, die du ihm erwiesen hast, nagt an seinem Gewissen und er bittet um Vergebung für seinen kleinen Streich. Er kann dich nicht auf andere Art und Weise entschädigen und bat mich, für deine Gesundheit zu beten.","Un humble ministre vous écrit au nom d'un paria analphabète. Vous auriez acheté sa liberté contre une somme conséquente auprès de bandits.
  
 Afin de rembourser sa dette causée par une défaite à un jeu de dés, il a dû payer le prix fort et offrir sa vie, prétendant appartenir à une mystérieuse famille noble.
  
 Vous avez fait preuve d'une grande clémence et cela lui a fait profondément regretter ses actes. Il ne peut pas vous rembourser et me demande de prier pour votre bonne santé.","Signore! Un umile sacerdote vi scrive a nome di un certo uomo. Si tratta di un vagabondo analfabeta che sostiene lo abbiate liberato dalla prigionia, pagando una cifra considerevole.
 
 L'uomo chiede di riferirvi che si è ritrovato in quella situazione dopo una partita a dadi dove, per saldare il debito, si è venduto a caro prezzo fingendo di essere un nobile misterioso.
 
 La misericordia che gli avete mostrato ha risvegliato la sua coscienza, e quindi vi chiede perdono per questo piccolo scherzo. Dato che non ha modo di ripagarvi, mi ha chiesto di pregare per la sua salute.","Efendim! Basit bir rahip size belirli bir kişi adına yazıyor. Bu kişi, yakın zamanda kendisini büyük bir meblağ ödeyerek tutsaklıktan kurtardığınızı söyleyen cahil bir avare.
 
 Kendi üzerine bahse girdiği zar oyununu kaybettiğini ve borcunu ödemek için arkadaşına gizemli bir asilzade gibi davranarak kendisini iyi bir fiyata satmasını önerdiğini size iletmek istiyor.
 
 Gösterdiğiniz merhamet vicdanını sızlatmış ve yaptığı bu küçük şaka için sizden af diliyor. Borcunu başka hiçbir şekilde ödeyemeyeceğini söylüyor ve benden sağlığınız için dua etmemi istiyor.","Uram! Egy egyszerű pap ír neked egy bizonyos ember nevében. Eme írástudatlan csavargó azt állítja, hogy nemrég kiszabadítottad a fogságból, jelentős összeget fizetve érte.

Azt kéri közölni, hogy kockajátékon veszítette el szabadságát, és hogy adósságát kifizesse, azt javasolta társának, hogy adja el magát drágán, valami titokzatos nemesnek adva ki magát.

A kegyelem, mit iránta tanúsítottál, felkeltette lelkiismeretét, és bocsánatot kér ezért a kis csínyért. Nem tudja másképp meghálálni, és arra kér, hogy imádkozzam az egészségedért.","Государю! Простий священник пише вам від імені одного чоловіка. Він безграмотний волоцюга, але каже, ви нещодавно визволили його з полону за значну суму.

Чоловік просить передати, що програвся в кості, і, щоб погасити борг, запропонував товаришу видати себе за багатого загадкового вельможу.

Проявлене вами милосердя зворушило його до глибини душі, і він перепрошує за цей невеличкий жарт. Чоловік не здатен віддячити вам іншим чином і просить мене молитися за ваше здоров'я."
letter.uniq_slave_release_bandit_richstring,"Кроме письма, в конверте ничего не было.","Besides the letter, there was nothing else in the envelope.",,02.10.2024,There was nothing else in the envelope besides the letter.,Kromě dopisu už v obálce nic dalšího nebylo.,Só havia a carta dentro do envelope.,"En el sobre, no hay nada más que la carta.",Poza listem w kopercie nie było niczego innego.,信封中除了信纸，别的什么都没有。,信封裡只裝著信件。,封筒には手紙のほかに何も入っていませんでした。,봉투 안에 편지 외에는 아무것도 들어 있지 않았습니다.,Abgesehen vom Brief selbst war der Umschlag leer.,L'enveloppe ne contient rien d'autre que la lettre.,"La busta era vuota, fatta eccezione per la lettera.",Zarfta mektuptan başka bir şey yoktu.,A levélen kívül semmi más nem volt a borítékban.,"Окрім листа, у конверті нічого не було."
map.demand_player_send_army_to_attack,Требование прислать армию,Demand to Send an Army,,02.10.2024,Demand to Send an Army,Dožadovat se vyslání vojska,Exigir o envio de exército,Exigir el envío de un ejército,Żądanie przysłania armii,要求派遣军队,要求派遣軍隊,軍隊の派遣を要求,군대 파병 요구,Forderung nach Entsenden der Armee stellen,Exiger l'envoi d'une armée,Ordine di invio dell'esercito,Ordu Gönderilmesini Talep Et,Követelés hadsereg küldésére,Вимога відправити військо
opinion_mind.matriarch_witch_give,Предал ведьму правосудию,Delivered the witch to justice,,02.10.2024,Brought the witch to justice,Čarodějnice byla předána spravedlnosti,Entregou a bruxa à justiça,Ha entregado a la bruja a la justicia,Czarownicy wymierzono sprawiedliwość,将女巫送去审判,將女巫移交審判,魔女を裁きにかける,마녀를 정의로 인도함,Die Hexe ihrem Urteil zugeführt,Livrer la sorcière à la justice,Hai consegnato la strega alla giustizia,Cadı adalete teslim edildi,Átadtad a boszorkányt az igazságszolgáltatásnak,Відьма віддана правосуддю
display_event.witch_king_got_impotence,Ваш правитель чувствует недомогание,Your ruler is feeling unwell,,01.10.2024,Your ruler is feeling unwell,Tvůj panovník se necítí dobře,Seu rei não se sente bem,Tu gobernante no se encuentra bien,Twój władca źle się czuje,你的统治者感觉不太好,你的統治者感到不適,支配者の体調が優れない,통치자의 상태가 좋지 않습니다,Dein Machthaber fühlt sich nicht wohl,Votre monarque ne se sent pas bien.,Il monarca non si sente molto bene,Hükümdarın kendisini iyi hissetmiyor,Uralkodód rosszul érzi magát,Ваш правитель погано почувається
display_event.too_smart_old_lord,{name}: Риск утери знаний!,{name}: Risk of Knowledge Loss!,,02.10.2024,{name}: Risk of Knowledge Loss!,{name}: Riziko ztráty znalostí!,{name}: risco de perda de conhecimento,{name}: ¡riesgo de perder conocimientos!,{name}: ryzyko utraty wiedzy!,{name}：有知识丢失的风险！,{name}：知識有就此消失的風險！,{name}：知識喪失のリスクあり！,{name}: 지식 상실 위험!,{name}: Möglicher Wissensverlust!,{name} : risque de perte de savoir,{name}: rischio di perdita della conoscenza!,{name}: İrfan Kaybı Riski!,{name}: Ismeret elvesztésének veszélye!,{name}: ризик втрати знань!
display_event.lord_banned,{name}: Персона нон грата в {faction_name}!,{name}: Persona non grata at {faction_name}!,,19.11.2024,{name}: Persona non grata at {faction_name}!,{name}: Nežádoucí osoba u frakce {faction_name}!,{name}: Persona non grata em {faction_name}!,¡{name} es persona non grata en {faction_name}!,{name}: persona non grata w {faction_name}!,{name}：被{faction_name}视为禁入者！,{name}：在{faction_name}不受歡迎的人！,{name}：{faction_name}で入国拒否になっている人物！,{name}: {faction_name} 추방 선언!,{name}: von {faction_name} zur Persona non grata erklärt!,{name} : persona non grata à {faction_name} !,{name}: persona non grata in {faction_name}!,{name}: {faction_name} grubunda istenmeyen kişi!,{name}: Persona non grata {faction_name} tartományban!,{name}: персона нон ґрата ({faction_name})!
mind.animal_master,Хозяин,Owner,,08.10.2024,Owner,Majitel,Dono,Dueño,Posiadacz,所有者,主人,飼い主,주인,Besitzer,Propriétaire,Padrone,Sahip,Gazda,Власник
activity_state.go_to_pet,Идет к питомцу,Goes to pet,,08.10.2024,Goes to the pet,Jde ke zvířeti,Indo ao mascote,Va a acariciar a la mascota,Idzie do zwierzaka,去摸摸宠物,正要去顧寵物,撫でに行く,애완동물에게 감,Unterwegs zum Haustier,Va voir un animal,Va ad accarezzare,Sevmeye gidiyor,Megy a kedvencéhez,Іде до тварини
mind.animal_play,Играл с собакой,Played with dog,,08.10.2024,Played with the dog,Hraní se psem,Brincou com o cachorro,Ha jugado con un perro,Po zabawie z psem,与狗玩耍,與狗狗玩,犬と遊んだ,개와 어울려 놂,Hat mit dem Hund gespielt,A joué avec le chien,Ha giocato con il cane,Köpekle oynadı,Játszott a kutyával,Грає із собакою
map.vassal_ai_want_to_rebel,Вассал готовит восстание,A vassal is about to rise,,08.10.2024,A vassal is about to rise,Vazal hodlá povstat,Um vassalo irá se rebelar,Un vasallo está a punto de alzarse,Wasal wkrótce powstanie,一个附庸将发动叛乱,附庸即將起義,家臣が反乱を起こそうとしている,반란을 일으키려 하는 봉신,Ein Vasall wird aufbegehren,Révolte vassale imminente,Un vassallo sta per insorgere,Bir vasal ayaklanmak üzere,Egy vazallus lázadni készül,Васал скоро повстане
opinion_mind.bribe_my_heir,Пытался меня свергнуть,Tried to overthrow me,,08.10.2024,Tried to overthrow me,Pokus o svrhnutí,Tentou me destronar,Ha intentado derrocarme,Próbowano mnie obalić,企图推翻我,企圖推翻我,私を支配を打倒しようとした,나에게 반역을 시도했어,Wollte mich unterwerfen,A essayé de me renverser,Ha tentato di spodestarmi,Beni devirmeye çalıştı,Megpróbált megdönteni engem,Хоче вчинити заколот проти мене
menu.army.keep_last_army,Сохранять последний состав армии,Save the last army composition,,08.10.2024,Save the last army composition,Uložit poslední složení vojska,Salvar a última configuração do exército,Guardar la última composición de ejército,Zapisz ostatni układ armii,保存最后的军队配置,儲存最新的軍隊組成,最後に行った軍編成を保存,마지막 군대 편성 저장,Letzte Armee-Zusammensetzung speichern,Enregistrer la dernière formation,Salva l'ultima configurazione dell'esercito,Son ordu düzenini kaydet,Utolsó hadsereg-összetétel mentése.,Зберегти останній склад війська
actor.action_task.order_song_religious,Религиозный гимн,Religious Hymn,,09.10.2024,Religious Hymn,Náboženský hymnus,Hino religioso,Himno religioso,Hymn religijny,宗教颂歌,宗教讚歌,宗教讃美歌,성가,Religiöser Hymnus,Hymne religieux,Inno religioso,İlahi,Vallásos himnusz,Релігійний гімн
actor.action_task.order_song_lyric,Лирическая поэма,Lyrical Poem,,09.10.2024,Lyrical Poem,Lyrická báseň,Poema lírico,Poema lírico,Poemat liryczny,抒情诗歌,抒情詩,抒情詩,서정시,Lyrisches Gedicht,Poème lyrique,Poema lirico,Lirik Şiir,Lírai vers,Лірична поема
actor.action_task.order_song_glory,Героическая песня,Heroic Song,,09.10.2024,Heroic Song,Hrdinská píseň,Canção heroica,Canto heroico,Pieśń o bohaterstwie,英雄之歌,英雄之歌,英雄の歌,영웅 찬가,Heroisches Lied,Ode héroïque,Canzone eroica,Destansı Şarkı,Hősi dal,Епічна пісня
actor.action_task.order_song_good,Назидательная история,Moral Tale,,09.10.2024,Moral Tale,Příběh s ponaučením,Conto de moralidade,Fábula moral,Opowieść z morałem,寓言故事,寓言故事,道徳的な物語,교훈 설화,Moralische Erzählung,Fable,Racconto virtuoso,Ahlaki Öykü,Tanmese,Байка
activity_state.npc_bard.go_to,Идет играть,Going to play,,09.10.2024,Going to play,Jde si hrát,Indo tocar,Va a jugar,Idzie się bawić,去玩耍,正要去玩,遊びに行く,공연하러 가는 중,Geht spielen,Va jouer,Va a giocare,Çalmaya gidiyor,Játszani megy,Іде грати
activity_state.npc_bard.work,Играет,Playing,,09.10.2024,Playing,Hraje si,Tocando,Jugando,Bawi się,正在玩耍,正在玩耍,遊んでいる,공연 중,Spielt,Joue,Gioca,Çalıyor,Játszik,Грає
